pathway	pval	padj	ES	NES	nMoreExtreme	size	fill
HALLMARK PROTEIN SECRETION	0.777205040091638	0.88318754555868	-0.258388191163442	-0.884230646669417	1356	93	non-significant
HALLMARK REACTIVE OXIGEN SPECIES PATHWAY	0.303041971505583	0.445649958096446	-0.361783300200609	-1.0813136109934	786	44	non-significant
HALLMARK ANDROGEN RESPONSE	0.145475372279496	0.307859264336303	-0.337063323261335	-1.15346494340134	253	93	non-significant
HALLMARK COAGULATION	0.00273972602739726	0.00856164383561644	-0.414306748630815	-1.46937822061428	3	122	significant
HALLMARK HEME METABOLISM	0.000884955752212389	0.00375544539582394	-0.504672347588445	-1.85096189096596	0	163	significant
HALLMARK ADIPOGENESIS	0.00099502487562189	0.00375544539582394	-0.523359674332749	-1.93652097091566	0	180	significant
HALLMARK OXIDATIVE PHOSPHORYLATION	0.001	0.00375544539582394	-0.551584591173599	-2.04500743272647	0	182	significant
HALLMARK PEROXISOME	0.000564652738565782	0.00375544539582394	-0.693548126090215	-2.37194903471275	0	92	significant
HALLMARK FATTY ACID METABOLISM	8e-04	0.00375544539582394	-0.681200172785742	-2.45908716242948	0	145	significant
HALLMARK XENOBIOTIC METABOLISM	0.0010515247108307	0.00375544539582394	-0.683167818974513	-2.5508654625854	0	192	significant
HALLMARK BILE ACID METABOLISM	0.000608642726719416	0.00375544539582394	-0.769685619869426	-2.67984393685187	0	104	significant
