pathway	pval	padj	ES	NES	nMoreExtreme	size	fill
HALLMARK UNFOLDED PROTEIN RESPONSE	0.732394366197183	0.893163861216077	-0.312254916129133	-0.865543542362705	4159	106	non-significant
HALLMARK PEROXISOME	0.7047533632287	0.880941704035874	-0.32025792587538	-0.869280853981551	3928	92	non-significant
HALLMARK PROTEIN SECRETION	0.557309417040359	0.71496633996634	-0.347590187893077	-0.94346921950927	3106	92	non-significant
HALLMARK KRAS SIGNALING DN	0.540452488687783	0.71496633996634	-0.36014820321724	-0.952558881975424	2985	76	non-significant
HALLMARK ANDROGEN RESPONSE	0.337942179924583	0.52803465613216	-0.395121430987801	-1.06870402507315	1881	90	non-significant
HALLMARK ADIPOGENESIS	0.200944032366824	0.347658819708716	-0.386857383819693	-1.14131782684163	1191	177	non-significant
HALLMARK FATTY ACID METABOLISM	0.177770166124336	0.347658819708716	-0.404511771992606	-1.16686322141281	1037	144	non-significant
HALLMARK SPERMATOGENESIS	0.190345584201865	0.347658819708716	-0.462382177439434	-1.19603866582381	1040	65	non-significant
HALLMARK HEDGEHOG SIGNALING	0.196714975845411	0.347658819708716	-0.557888871343931	-1.23898819916201	1017	26	non-significant
HALLMARK BILE ACID METABOLISM	0.0489014883061658	0.149159663865546	-0.49193461526124	-1.35853841072167	275	104	non-significant
HALLMARK MYC TARGETS V2	0.0731118946001113	0.195165225105345	-0.53666085997424	-1.36125396547658	393	58	non-significant
HALLMARK HEME METABOLISM	0.0236958745311967	0.0846281233257026	-0.47483904396598	-1.38630712789918	138	160	non-significant
HALLMARK MYC TARGETS V1	0.00531914893617021	0.0392558457074586	-0.4910759685176	-1.4664529811735	31	195	significant
HALLMARK WNT BETA CATENIN SIGNALING	0.000190439916206437	0.0040980247520695	-0.783521205389778	-1.86744315837627	0	40	significant
