pathway	pval	padj	ES	NES	nMoreExtreme	size	fill
HALLMARK PEROXISOME	0.0535591668574044	0.140945175940538	-0.428794679935925	-1.31952544764252	233	92	non-significant
HALLMARK WNT BETA CATENIN SIGNALING	0.0523778216085908	0.140945175940538	-0.524819536577917	-1.39987088389494	238	39	non-significant
HALLMARK REACTIVE OXIGEN SPECIES PATHWAY	0.0378021978021978	0.118131868131868	-0.523783066719285	-1.43025449578642	171	44	non-significant
HALLMARK HEME METABOLISM	0.00481116189559779	0.0185044688292223	-0.433970189068829	-1.44589116961271	19	161	significant
HALLMARK TNFA SIGNALING VIA NFKB	0.00267184843332524	0.0111327018055218	-0.445489699741738	-1.49391640734095	10	172	significant
HALLMARK ANDROGEN RESPONSE	0.00778210116731518	0.0277932184546971	-0.489320786977249	-1.5057818128094	33	92	significant
HALLMARK COAGULATION	0.000469263256687001	0.00234631628343501	-0.524947908627054	-1.67129000211742	1	117	significant
HALLMARK ADIPOGENESIS	0.000244498777506112	0.00154588177096216	-0.521926941125061	-1.75802519219854	0	179	significant
HALLMARK BILE ACID METABOLISM	0.000228466986520448	0.00154588177096216	-0.593750925830215	-1.8646449147862	0	104	significant
HALLMARK FATTY ACID METABOLISM	0.000239005736137667	0.00154588177096216	-0.626391838637869	-2.05945261653416	0	146	significant
HALLMARK XENOBIOTIC METABOLISM	0.000247341083353945	0.00154588177096216	-0.606789078989959	-2.06148468457747	0	192	significant
HALLMARK OXIDATIVE PHOSPHORYLATION	0.00024612355402412	0.00154588177096216	-0.651119526278018	-2.19723675327117	0	182	significant
