pathway	pval	padj	ES	NES	nMoreExtreme	size	fill
HALLMARK MYC TARGETS V1	0.958370578470183	0.993915381349936	0.237845495714362	0.78309975468141	7504	195	non-significant
HALLMARK PROTEIN SECRETION	0.978025073954078	0.993915381349936	0.234337588090576	0.709015548441751	6942	93	non-significant
HALLMARK UNFOLDED PROTEIN RESPONSE	0.981989470767526	0.993915381349936	0.228105796708632	0.701865840633026	7087	106	non-significant
HALLMARK INTERFERON ALPHA RESPONSE	0.993915381349936	0.993915381349936	0.218307216297356	0.658042944240089	7023	91	non-significant
HALLMARK MYC TARGETS V2	0.794716064378986	0.883017849309984	-0.268852626172334	-0.840555309796983	2616	58	non-significant
HALLMARK ANDROGEN RESPONSE	0.648073022312373	0.753573281758574	-0.274999025452065	-0.922019083080049	1916	90	non-significant
HALLMARK KRAS SIGNALING DN	0.417920427950518	0.573035867153514	-0.304355042094859	-1.01150022672428	1249	84	non-significant
HALLMARK PANCREAS BETA CELLS	0.285492629945694	0.43256459082681	-0.428660550498862	-1.12332940176266	1103	24	non-significant
HALLMARK DNA REPAIR	0.115460656385923	0.199070097217109	-0.328616572546441	-1.16635917409944	291	137	non-significant
HALLMARK COAGULATION	0.0673076923076923	0.124643874643875	-0.351071713086767	-1.22687910504172	174	123	non-significant
HALLMARK REACTIVE OXIGEN SPECIES PATHWAY	0.0391316766638103	0.0752532243534814	-0.47631459349048	-1.414340198702	136	44	non-significant
HALLMARK HEME METABOLISM	0.000415800415800416	0.00151722045213169	-0.455832219280626	-1.65685406481193	0	162	significant
HALLMARK ADIPOGENESIS	0.000436681222707424	0.00151722045213169	-0.547412152991072	-2.01310692218543	0	180	significant
HALLMARK PEROXISOME	0.000347826086956522	0.00151722045213169	-0.653130902442859	-2.19913755922399	0	94	significant
HALLMARK OXIDATIVE PHOSPHORYLATION	0.000441111601235112	0.00151722045213169	-0.669023525199826	-2.46324521105866	0	182	significant
HALLMARK XENOBIOTIC METABOLISM	0.000455166135639508	0.00151722045213169	-0.678015668088742	-2.50485796650596	0	191	significant
HALLMARK FATTY ACID METABOLISM	0.000404858299595142	0.00151722045213169	-0.735771473858547	-2.63670001873067	0	146	significant
HALLMARK BILE ACID METABOLISM	0.000357015351660121	0.00151722045213169	-0.780176107751954	-2.67321442727004	0	105	significant
